    #theta              beta_x             alpha_x              beta_y             alpha_y
     0.000000000        0.7406379483        0.1232742762E-03     4.154713988       -0.2664034338E-03
    0.1187500000        0.7407507164       -0.1245815757E-01     4.154723734       -0.7996313742E-03
    0.2375000000        0.7410935542       -0.2504182368E-01     4.154743116       -0.1320343158E-02
    0.3562500000        0.7416665203       -0.3762801947E-01     4.154771907       -0.1828745601E-02
    0.4750000000        0.7424696600       -0.5021385508E-01     4.154810041       -0.2342067579E-02
    0.5937500000        0.7435030707       -0.6280681977E-01     4.154857218       -0.2817524703E-02
    0.7125000000        0.7447669317       -0.7540725825E-01     4.154912746       -0.3254941276E-02
    0.8312500000        0.7462614372       -0.8801529073E-01     4.154975940       -0.3655302671E-02
    0.9500000000        0.7479867599       -0.1006272933         4.155046303       -0.4037960786E-02
     1.068750000        0.7499431405       -0.1132531508         4.155123019       -0.4348903392E-02
     1.187500000        0.7521309097       -0.1258916025         4.155204861       -0.4597239611E-02
     1.306250000        0.7545503251       -0.1385346796         4.155291088       -0.4826834747E-02
     1.425000000        0.7572017443       -0.1512000479         4.155380466       -0.4939886283E-02
     1.543750000        0.7600857057       -0.1638884515         4.155470849       -0.4935006443E-02
     1.662500000        0.7632025528       -0.1765764833         4.155561263       -0.4941203575E-02
     1.781250000        0.7665527500       -0.1892994397         4.155650127       -0.4763577484E-02
     1.900000000        0.7701371043       -0.2020579133         4.155734074       -0.4402205870E-02
     2.018750000        0.7739563864       -0.2148457881         4.155810065       -0.3892731814E-02
     2.137500000        0.7780111933       -0.2276486362         4.155876070       -0.3310249260E-02
     2.256250000        0.7823023408       -0.2405030760         4.155928957       -0.2459485517E-02
     2.375000000        0.7868308651       -0.2533946952         4.155964539       -0.1421225450E-02
     2.493750000        0.7915974750       -0.2663003070         4.155980469       -0.3156250724E-03
     2.612500000        0.7966032272       -0.2792790632         4.155972619        0.1171196895E-02
     2.731250000        0.8018497162       -0.2923281205         4.155934168        0.3018081497E-02
     2.850000000        0.8073383273       -0.3054252226         4.155859553        0.5108042582E-02
     2.968750000        0.8130701247       -0.3185549802         4.155744928        0.7370213939E-02
     3.087500000        0.8190466460       -0.3317817188         4.155584091        0.1013126726E-01
     3.206250000        0.8252697191       -0.3450696551         4.155369528        0.1320538690E-01
     3.325000000        0.8317407543       -0.3584059309         4.155095931        0.1653753468E-01
     3.443750000        0.8384620708       -0.3718987652         4.154753488        0.2067032256E-01
     3.562500000        0.8454366295       -0.3855055756         4.154329420        0.2538110929E-01
     3.681250000        0.8526669989       -0.3992221928         4.153813124        0.3065308083E-01
     3.800000000        0.8601570362       -0.4131881133         4.153187852        0.3716644705E-01
     3.918750000        0.8679120225       -0.4274126345         4.152430343        0.4494257614E-01
     4.037500000        0.8759372054       -0.4418770529         4.151518069        0.5387370097E-01
     4.156250000        0.8842383371       -0.4566486194         4.150426680        0.6425772521E-01
     4.275000000        0.8928222401       -0.4717691404         4.149127504        0.7625584670E-01
     4.393750000        0.9016963556       -0.4872565235         4.147589951        0.8990400281E-01
     4.512500000        0.9108679550       -0.5030668937         4.145785296        0.1049528975
     4.631250000        0.9203440570       -0.5192089837         4.143687020        0.1214021342
     4.750000000        0.9301333767       -0.5358494997         4.141262215        0.1399274070
     4.835750000        0.9374021742       -0.5481016457         4.139289705        0.1542162583
     4.921500000        0.9448420867       -0.5605343139         4.137119498        0.1691652726
     5.007250000        0.9524562180       -0.5731813698         4.134741557        0.1848950952
     5.093000000        0.9602479112       -0.5860413042         4.132145255        0.2013673168
     5.178750000        0.9682205278       -0.5991150692         4.129320374        0.2185529581
     5.264500000        0.9763773983       -0.6123938376         4.126257328        0.2363807655
     5.350250000        0.9847216837       -0.6258579525         4.122947746        0.2547354762
     5.436000000        0.9932557529       -0.6394061397         4.119387033        0.2731664888
     5.521750000         1.001981893       -0.6531250504         4.115571324        0.2920113693
     5.607500000         1.010902945       -0.6670070339         4.111494842        0.3112113311
     5.693250000         1.020021700       -0.6810487883         4.107152440        0.3307266232
     5.779000000         1.029340941       -0.6952491531         4.102539411        0.3505268852
     5.864750000         1.038863467       -0.7096087088         4.097651372        0.3705893195
     5.950500000         1.048592459       -0.7241797180         4.092482853        0.3910923930
     6.036250000         1.058530766       -0.7388570663         4.087030126        0.4115955842
     6.122000000         1.068680583       -0.7536471250         4.081292349        0.4321103850
     6.207750000         1.079044404       -0.7685835379         4.075267813        0.4527487878
     6.293500000         1.089625811       -0.7837895347         4.068951054        0.4739459046
     6.379250000         1.100428384       -0.7991370825         4.062337086        0.4951912958
     6.465000000         1.111455488       -0.8147194695         4.055422165        0.5168076875
     6.550750000         1.122711887       -0.8306440922         4.048197887        0.5391483665
     6.636500000         1.134202184       -0.8467751796         4.040657047        0.5616783819
     6.722250000         1.145930064       -0.8631110206         4.032796268        0.5843674177
     6.808000000         1.157900646       -0.8798584395         4.024607633        0.6079016327
     6.893750000         1.170120690       -0.8970454619         4.016078228        0.6323152276
     6.979500000         1.182595821       -0.9144735436         4.007199879        0.6568765926
     7.065250000         1.195332411       -0.9324461553         3.997962616        0.6825689307
     7.151000000         1.208339461       -0.9510358652         3.988348541        0.7095498699
     7.236750000         1.221624847       -0.9700016058         3.978344673        0.7369402473
     7.322500000         1.235196261       -0.9895565562         3.967939734        0.7653636185
     7.408250000         1.249064103        -1.009875037         3.957114869        0.7952826583
     7.494000000         1.263240860        -1.031079799         3.945846068        0.8269661717
